lng,lat
-122.270943441,37.7849713919
-122.270964103,37.7849587042
-122.270983754,37.7849462932
-122.271003609,37.7849346643
-122.271025874,37.7849213625
-122.271046837,37.7849085757
-122.271066942,37.7848962103
-122.271086903,37.7848845177
-122.271107025,37.7848724944
-122.271126067,37.7848609605
-122.271143982,37.7848501197
-122.271162609,37.7848387538
-122.271181443,37.7848265587
-122.271199255,37.7848147791
-122.271217674,37.784801892
-122.271234816,37.7847889522
-122.27125207,37.78477442
-122.271268418,37.7847583008
-122.271282574,37.7847409154
-122.271293781,37.7847219367
-122.271300006,37.7847011778
-122.271301308,37.7846797579
-122.2712982,37.7846582316
-122.271292064,37.7846401796
-122.271282988,37.7846212276
-122.271272375,37.7846016969
-122.271260058,37.7845803413
-122.271249913,37.7845633059
-122.271239203,37.7845451757
-122.271227875,37.7845263647
-122.271216372,37.784506645
-122.271203828,37.784485432
-122.271191442,37.7844637451
-122.271179117,37.7844413015
-122.271166646,37.784417998
-122.271154397,37.7843937586
-122.271142315,37.7843683465
-122.271134881,37.7843514532
-122.271127312,37.7843339722
-122.271120069,37.7843162525
-122.271113088,37.7842977334
-122.271106395,37.7842793361
-122.271100234,37.7842605697
-122.271094485,37.7842416983
-122.271089022,37.784221623
-122.271084296,37.7842029308
-122.271079251,37.7841828824
-122.271074908,37.7841626418
-122.271071031,37.784142404
-122.271067766,37.7841220422
-122.271064662,37.7841011125
-122.271062039,37.7840800233
-122.271059917,37.7840593148
-122.271058285,37.7840381334
-122.271057263,37.784016894
-122.27105568,37.7839952367
-122.2710549,37.7839739059
-122.271054095,37.783952204
-122.271053398,37.7839304127
-122.271052925,37.783908771
-122.271052179,37.783886608
-122.271051723,37.7838648106
-122.271051294,37.7838427475
-122.271051029,37.7838207415
-122.271051066,37.7837987377
-122.271050735,37.7837764131
-122.271050817,37.7837541461
-122.271051139,37.7837318073
-122.271051824,37.7837095462
-122.271053012,37.7836873659
-122.271054179,37.7836653004
-122.271055718,37.7836431226
-122.271057531,37.7836212369
-122.271059589,37.7835994323
-122.271062052,37.7835780177
-122.271064692,37.7835565836
-122.271067821,37.7835355668
-122.271071091,37.7835151464
-122.271074592,37.7834952644
-122.271078471,37.7834760564
-122.271082741,37.7834575043
-122.271087229,37.7834400376
-122.271094507,37.7834148516
-122.271102616,37.7833904005
-122.271111588,37.7833671888
-122.271120991,37.783343201
-122.271131344,37.7833197381
-122.271143517,37.7832958546
-122.271155113,37.7832724326
-122.271168438,37.7832484099
-122.271182998,37.7832237897
-122.271192984,37.7832070504
-122.271203317,37.7831906398
-122.271214081,37.7831740378
-122.271225459,37.7831569899
-122.27123679,37.7831401478
-122.271248592,37.7831236747
-122.271260716,37.7831073418
-122.271273193,37.7830910316
-122.271285716,37.7830750624
-122.27129859,37.7830591609
-122.271311553,37.7830434152
-122.271324524,37.783028121
-122.271337333,37.7830131429
-122.271350453,37.7829983962
-122.27137031,37.7829768182
-122.271390089,37.7829560617
-122.271409618,37.7829362519
-122.271429335,37.782917126
-122.271449012,37.7828990394
-122.27146833,37.782882122
-122.271487379,37.7828662032
-122.27150642,37.7828513818
-122.271525066,37.7828373037
-122.271542355,37.7828250202
-122.271564486,37.7828098677
-122.271585233,37.7827964557
-122.271603315,37.782785499
-122.271624146,37.7827730901
-122.271644474,37.7827616781
-122.271664271,37.7827515516
-122.271681088,37.7827432237
-122.271702166,37.7827332018
-122.271722499,37.7827222559
-122.271740859,37.7827088493
-122.271758126,37.7826915749
-122.27177003,37.7826749859
-122.271778863,37.7826564587
-122.271785343,37.7826356274
-122.271788433,37.7826129924
-122.271788379,37.7825888112
-122.271785918,37.7825697033
-122.27178124,37.7825505268
-122.2717747,37.7825310206
-122.271765522,37.7825104618
-122.271754299,37.7824903234
-122.271740601,37.7824698819
-122.271725146,37.7824491385
-122.27170879,37.7824275279
-122.271692072,37.7824054329
-122.271674693,37.7823826573
-122.271662695,37.7823669375
-122.271650633,37.7823511599
-122.271638271,37.7823349076
-122.271625591,37.7823186186
-122.271612789,37.7823021838
-122.271599963,37.7822856052
-122.271586662,37.7822686115
-122.2715734,37.7822515255
-122.271559392,37.782233796
-122.27154661,37.7822166749
-122.271533142,37.7821990533
-122.27151957,37.7821811324
-122.271505952,37.7821630532
-122.271492062,37.7821447223
-122.271477937,37.7821261522
-122.271464563,37.7821082561
-122.271450745,37.7820899911
-122.271436042,37.7820705704
-122.271421721,37.7820514165
-122.271407261,37.7820323646
-122.271392914,37.7820128826
-122.271378432,37.7819931986
-122.271364186,37.7819734462
-122.271349786,37.7819536293
-122.271335247,37.7819335918
-122.271320721,37.7819134092
-122.271306132,37.7818931364
-122.271291472,37.7818727782
-122.271276785,37.7818522662
-122.2712623,37.7818319584
-122.27124778,37.7818114039
-122.271233279,37.7817906239
-122.27121873,37.7817702691
-122.271204207,37.7817496633
-122.271189652,37.7817290708
-122.271175021,37.7817084218
-122.271160461,37.7816877888
-122.271145967,37.7816673093
-122.271131617,37.7816469558
-122.271117346,37.7816264832
-122.271102984,37.7816062225
-122.271088818,37.7815862805
-122.271075002,37.7815663843
-122.27106081,37.7815470614
-122.2710469,37.7815280946
-122.271033195,37.7815091802
-122.271019205,37.7814907542
-122.271005592,37.78147296
-122.270991718,37.7814553293
-122.270977789,37.7814379915
-122.270964141,37.7814210679
-122.270950612,37.7814047337
-122.270936856,37.7813881219
-122.270923166,37.7813720789
-122.270910071,37.7813563862
-122.270896654,37.7813407516
-122.270883762,37.7813255362
-122.270864919,37.7813034339
-122.270847169,37.7812825837
-122.27083056,37.7812633603
-122.270815228,37.7812456012
-122.270800521,37.7812282609
-122.270787509,37.7812129523
-122.270771755,37.7811937568
-122.270757936,37.7811768742
-122.270743488,37.7811594145
-122.270730508,37.7811435462
-122.270717239,37.7811273836
-122.270706839,37.7811147264
-122.270693125,37.7810984681
-122.270677561,37.7810814532
-122.270659528,37.7810664861
-122.270642003,37.7810544472
-122.270621798,37.7810433484
-122.270598659,37.7810330444
-122.270572558,37.781025341
-122.270544023,37.7810198266
-122.270520945,37.7810175039
-122.270497042,37.7810170408
-122.270472366,37.7810185176
-122.270446894,37.7810221268
-122.27042062,37.7810277404
-122.270394183,37.781035283
-122.270367594,37.7810438818
-122.270339765,37.7810528721
-122.270311079,37.7810623481
-122.270281302,37.7810713821
-122.270250732,37.7810805557
-122.270218493,37.7810895601
-122.270196745,37.7810953328
-122.270174725,37.7811008289
-122.270151991,37.7811061091
-122.270129154,37.7811113666
-122.270105565,37.7811168182
-122.270081946,37.7811217144
-122.270057615,37.781126522
-122.27003328,37.7811310111
-122.27000814,37.7811354201
-122.269983027,37.7811397485
-122.269957469,37.7811434559
-122.269931437,37.7811471498
-122.269905321,37.7811506305
-122.269878982,37.7811541466
-122.269852269,37.781157273
-122.269824907,37.7811596843
-122.269797313,37.78116257
-122.269769737,37.7811649175
-122.269742237,37.7811671208
-122.269714193,37.7811690481
-122.269685671,37.7811705407
-122.269657467,37.7811722716
-122.269629012,37.7811737588
-122.269600104,37.7811746704
-122.269571153,37.7811752531
-122.269542108,37.7811754407
-122.269512998,37.7811754045
-122.269483734,37.781174892
-122.269454354,37.781173863
-122.269424931,37.7811723877
-122.269395409,37.7811705251
-122.269366209,37.7811683653
-122.269336961,37.7811657335
-122.269307615,37.7811629017
-122.269278345,37.7811595712
-122.269249065,37.7811560024
-122.269219646,37.7811518394
-122.269190478,37.7811474867
-122.269161291,37.7811428578
-122.269132621,37.7811383224
-122.269103642,37.7811335853
-122.26907408,37.7811276609
-122.269044782,37.7811214148
-122.269015203,37.7811147303
-122.268985862,37.7811077425
-122.26895671,37.7811001857
-122.268927493,37.7810918444
-122.268898323,37.7810834653
-122.268868961,37.781075056
-122.268839841,37.7810659517
-122.268810706,37.7810565434
-122.268781384,37.781046768
-122.268752535,37.7810366149
-122.268723274,37.781025934
-122.268694478,37.7810149456
-122.268665778,37.7810038668
-122.26863624,37.7809923961
-122.268607018,37.7809806669
-122.268578741,37.7809688523
-122.268549755,37.7809566659
-122.268520929,37.7809443471
-122.268491996,37.7809322284
-122.268463038,37.7809199688
-122.268434056,37.7809076275
-122.268405121,37.780895268
-122.268376056,37.7808829708
-122.268346945,37.7808708127
-122.268317687,37.7808592581
-122.268288591,37.7808475464
-122.268259653,37.7808362735
-122.268230443,37.7808252996
-122.268201556,37.7808147326
-122.268172661,37.7808045593
-122.268143007,37.7807944914
-122.268113857,37.7807849679
-122.268084117,37.7807753743
-122.268055572,37.7807668207
-122.268026494,37.7807583298
-122.267997225,37.7807505015
-122.267968256,37.780743056
-122.267939013,37.7807362153
-122.267909591,37.7807298792
-122.267880357,37.7807239655
-122.267851051,37.7807185004
-122.267821319,37.7807133113
-122.267792039,37.7807087007
-122.26776278,37.7807046152
-122.267733572,37.7807009947
-122.267704538,37.7806978106
-122.267675146,37.7806951666
-122.267646109,37.7806928968
-122.267615701,37.7806909938
-122.267586692,37.7806892887
-122.267556915,37.7806878692
-122.26752826,37.7806867274
-122.267497663,37.780685403
